,zip,work_outside_home,Commute,beh_read,beh_type,beh_handheld,beh_handfree,beh_app,acc_handheld,acc_handfree,acc_read,acc_type,acc_app,threat_talk,threat_type,threat_aggressive,threat_spdfwy,threat_spdres,threat_lights,threat_asleep,threat_alcohol,threat_cannabis,threat_app,legal_addgps,legal_gps1819,legal_handheld,legal_handheldstop,legal_handheldspkr,legal_911,legal_camera,legal_music1819,legal_readstop,legal_typestop,legal_handfree,legal_app1819,legal_video,will30_handheld,will30_type,will30_app,willever_tixtalk,willever_tixtext,willever_crashtalk,willever_crashtext,stop_family,stop_friends,stop_pass,stop_bt,stop_tix124,stop_tix240,stop_ins,stop_work,stop_app,stop_block,stop_crash,stop_kill,stop_none,Gender,Age,agegrp1,Race,Education,Income,drive30days,Urbanicity,weight,Language,legal_gps2122,legal_music2122,legal_app2122,year,month,day
42,98122,2,,5,5,5,5,5,4,4,4,4,4,1,1,1,2,1,1,1,1,1,1,2,2.0,2,2,2,3,2,2.0,2,2,2,2.0,2,4,4,4,4,4,4,4,2,2,1,2,1,1,1,2,2,1,1,1,2,1,61,3,3,3,1,2,1.0,0.599948481,,,,,2018,6,17
43,98058,3,,3,5,5,5,3,2,2,2,3,2,3,2,2,2,2,1,1,1,1,3,1,1.0,2,2,2,1,2,2.0,2,2,1,2.0,2,3,2,2,3,3,4,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,36,2,3,4,3,1,2.0,0.610353954,,,,,2018,6,17
44,98010,1,1.0,5,5,5,5,5,3,2,3,4,4,2,1,1,3,3,1,1,1,2,1,2,1.0,2,2,2,1,2,1.0,2,2,1,2.0,2,4,4,4,4,4,4,4,2,2,1,1,1,1,1,2,2,1,1,1,2,1,26,1,7,1,2,1,1.0,0.763773363,,,,,2018,6,17
45,98118,1,3.0,5,5,5,5,5,4,3,4,4,4,1,1,1,2,1,1,1,1,1,1,2,3.0,2,2,2,3,2,2.0,2,2,3,2.0,2,4,4,4,3,3,4,4,1,1,1,2,1,1,2,2,2,2,1,1,2,2,21,1,3,1,2,2,2.0,0.994759289,,,,,2018,6,17
46,98003,1,1.0,5,5,5,3,5,3,1,4,4,3,1,1,1,2,1,1,1,1,2,2,2,1.0,2,2,2,1,2,2.0,2,2,1,2.0,2,4,4,4,3,3,4,4,2,2,2,1,2,1,1,2,1,2,1,1,2,2,43,2,2,2,2,1,1.0,1.284637437,,,,,2018,6,17
47,98168,1,1.0,5,5,5,5,5,4,2,4,4,4,2,1,1,2,2,1,1,1,1,2,1,1.0,2,2,2,3,3,2.0,2,2,1,2.0,2,4,4,4,4,4,4,4,1,2,1,2,1,1,1,2,1,1,1,1,2,2,48,2,5,2,3,1,1.0,1.642569739,,,,,2018,6,17
48,98058,1,1.0,2,3,3,3,3,4,2,3,4,3,1,1,1,1,1,1,1,1,3,1,2,1.0,2,2,2,1,2,1.0,2,2,1,2.0,2,3,4,3,3,3,4,4,2,2,2,2,2,2,2,2,1,1,1,1,2,2,35,2,3,2,2,1,1.0,0.617983378,,,,,2018,6,17
49,98045,1,1.0,4,6,4,3,5,4,2,4,4,4,4,2,1,1,1,1,1,1,1,2,3,1.0,3,1,3,1,3,1.0,1,3,1,2.0,2,4,5,4,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,23,1,2,2,1,2,1.0,0.293376369,,,,,2018,6,17
50,98166,2,,5,5,5,5,5,4,4,4,4,4,1,1,1,2,1,1,1,1,1,1,2,3.0,2,1,2,1,1,2.0,1,1,3,2.0,2,4,4,4,4,4,4,4,1,1,1,2,1,1,1,2,1,1,1,1,2,1,74,4,3,3,1,1,2.0,0.6075906,,,,,2018,6,17
51,98045,2,,3,5,5,2,3,4,2,4,4,3,2,1,2,3,2,1,1,1,2,2,2,1.0,2,2,2,3,2,3.0,2,2,1,2.0,2,4,4,3,4,4,4,3,2,2,2,1,2,2,1,1,1,1,1,1,2,1,75,4,3,2,2,1,3.0,0.767491992,,,,,2018,6,17
