,Unnamed: 0,zip,work_outside_home,Commute,beh_read,beh_type,beh_handheld,beh_handfree,beh_app,acc_handheld,acc_handfree,acc_read,acc_type,acc_app,threat_talk,threat_type,threat_aggressive,threat_spdfwy,threat_spdres,threat_lights,threat_asleep,threat_alcohol,threat_cannabis,threat_app,legal_addgps,legal_gps1819,legal_handheld,legal_handheldstop,legal_handheldspkr,legal_911,legal_camera,legal_music1819,legal_readstop,legal_typestop,legal_handfree,legal_app1819,legal_video,will30_handheld,will30_type,will30_app,willever_tixtalk,willever_tixtext,willever_crashtalk,willever_crashtext,stop_family,stop_friends,stop_pass,stop_bt,stop_tix124,stop_tix240,stop_ins,stop_work,stop_app,stop_block,stop_crash,stop_kill,stop_none,Gender,Age,agegrp1,Race,Education,Income,drive30days,Urbanicity,weight,Language,legal_gps2122,legal_music2122,legal_app2122,year,month,day
262,263,98101,2,,5,5,5,5,5,4,4,4,4,2,1,1,1,1,1,1,1,1,1,2,3,1.0,3,2,2,1,1,2.0,1,2,2,2.0,2,4,4,4,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,57,3,3,1,1,2,1.0,0.576568044,,,,,2018,6,18
263,264,98199,2,,5,5,3,5,5,4,4,4,4,4,1,1,2,1,2,1,1,1,1,1,2,3.0,2,2,3,1,2,2.0,2,2,1,2.0,2,2,4,4,4,4,4,4,2,2,2,1,2,2,2,2,2,1,1,1,2,2,71,4,3,4,2,1,1.0,0.788583249,,,,,2018,6,18
265,266,98198,2,,5,5,5,3,5,4,1,4,4,2,1,1,2,2,2,1,1,1,2,3,3,1.0,2,2,2,1,2,1.0,2,2,1,1.0,2,4,4,2,4,4,4,4,2,2,2,1,1,1,1,2,2,2,2,2,2,2,58,3,3,3,2,1,2.0,0.591164704,,,,,2018,6,18
267,268,98006,1,3.0,5,5,5,5,5,4,3,4,4,4,2,1,1,1,1,1,1,1,1,1,2,1.0,2,2,2,2,2,2.0,2,2,1,2.0,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1,2,1,62,3,3,3,5,1,2.0,1.822628297,,,,,2018,6,18
271,272,98027,2,,5,5,5,5,5,4,5,4,4,5,1,1,1,1,1,1,1,1,2,5,2,1.0,2,3,2,3,3,2.0,3,3,1,3.0,2,4,4,4,4,4,4,4,2,2,2,2,1,1,1,2,2,1,1,1,2,2,61,3,3,1,1,1,2.0,0.576568044,,,,,2018,6,18
273,274,98155,2,,5,5,5,5,5,4,2,4,4,4,1,1,1,2,1,1,1,1,1,1,2,3.0,2,2,2,2,2,2.0,2,2,1,2.0,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2,1,2,2,2,2,2,77,4,3,2,2,1,2.0,1.664680419,,,,,2018,6,18
274,275,98103,2,,3,3,3,5,5,3,3,4,4,3,1,1,1,1,1,1,1,1,1,1,2,1.0,2,2,2,1,3,3.0,3,2,2,3.0,2,4,4,4,4,4,4,4,2,2,2,2,1,1,1,1,2,2,1,1,2,1,67,4,3,1,1,1,2.0,0.6075906,,,,,2018,6,18
281,282,98042,2,,3,5,3,3,5,3,2,3,3,3,2,1,1,2,1,1,2,1,1,2,2,1.0,2,2,2,1,2,2.0,2,2,1,2.0,2,3,3,4,3,4,5,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,62,3,3,2,2,1,2.0,0.591164704,,,,,2018,6,18
282,283,98007,1,3.0,5,5,5,5,5,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,2,1.0,2,2,2,1,3,3.0,2,2,2,2.0,2,4,4,4,4,4,4,4,1,2,1,1,1,1,1,1,1,1,1,1,2,2,61,3,3,2,2,2,2.0,0.591164704,,,,,2018,6,18
283,284,98058,2,,5,5,4,3,5,4,3,4,4,4,2,1,2,2,2,1,1,1,1,1,3,1.0,2,2,2,1,2,2.0,2,2,1,2.0,2,4,4,4,4,4,4,4,1,1,1,2,1,1,1,1,2,2,1,1,2,1,71,4,3,4,5,1,3.0,1.845844861,,,,,2018,6,18
285,286,98122,1,4.0,5,5,5,5,5,3,2,3,4,3,2,2,1,2,1,2,1,1,1,2,1,1.0,2,2,2,1,2,1.0,1,2,1,1.0,2,4,4,4,4,4,4,4,2,2,2,1,1,1,1,2,1,2,1,1,2,2,56,3,7,4,3,2,1.0,3.972094259,,,,,2018,6,18
287,288,98011,1,1.0,5,5,5,5,5,4,2,4,4,4,2,1,1,2,1,1,1,1,1,2,2,2.0,2,2,2,1,3,3.0,2,2,1,2.0,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,2,2,1,1,2,2,62,3,3,3,2,1,2.0,0.591164704,,,,,2018,6,18
288,289,98053,2,,5,5,3,5,5,4,2,4,4,4,2,1,1,2,2,1,2,2,1,2,2,1.0,2,2,2,2,1,2.0,2,2,1,2.0,2,4,4,4,4,4,4,4,2,2,1,1,1,1,1,2,2,1,1,1,2,1,78,4,3,4,3,1,2.0,0.758016783,,,,,2018,6,18
291,292,98107,1,7.0,5,5,5,5,5,3,2,4,4,5,2,1,1,2,1,1,1,1,1,2,2,1.0,1,2,2,1,1,1.0,1,1,1,1.0,1,4,4,4,3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,60,3,3,4,3,1,1.0,0.583866374,,,,,2018,6,18
292,293,98092,2,,5,5,5,5,5,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,2,2.0,2,2,2,1,1,2.0,1,1,2,2.0,2,4,4,4,4,4,4,4,2,2,2,2,1,1,1,2,2,2,1,1,2,2,73,4,3,1,1,1,1.0,0.769112058,,,,,2018,6,18
