,Unnamed: 0,zip,work_outside_home,Commute,beh_read,beh_type,beh_handheld,beh_handfree,beh_app,acc_handheld,acc_handfree,acc_read,acc_type,acc_app,threat_talk,threat_type,threat_aggressive,threat_spdfwy,threat_spdres,threat_lights,threat_asleep,threat_alcohol,threat_cannabis,threat_app,legal_addgps,legal_gps1819,legal_handheld,legal_handheldstop,legal_handheldspkr,legal_911,legal_camera,legal_music1819,legal_readstop,legal_typestop,legal_handfree,legal_app1819,legal_video,will30_handheld,will30_type,will30_app,willever_tixtalk,willever_tixtext,willever_crashtalk,willever_crashtext,stop_family,stop_friends,stop_pass,stop_bt,stop_tix124,stop_tix240,stop_ins,stop_work,stop_app,stop_block,stop_crash,stop_kill,stop_none,Gender,Age,agegrp1,Race,Education,Income,drive30days,Urbanicity,weight,Language,legal_gps2122,legal_music2122,legal_app2122,year,month,day
105,105,98133,1,4.0,2,3,2,1,2,2,1,3,4,2,2,1,2,3,2,1,1,2,2,3,2,1.0,2,2,2,1,2,2.0,2,2,1,2.0,2,2,3,3,3,3,4,4,2,2,1,1,1,1,1,2,2,2,1,1,2,2,29,1,3,3,5,1,2.0,1.563378172,,,,,2018,6,17
117,117,98023,2,,5,5,2,2,1,3,1,4,4,2,2,1,1,2,2,2,1,1,3,3,2,1.0,2,2,2,2,2,2.0,2,2,1,1.0,2,3,4,1,3,4,4,4,2,2,2,1,2,2,2,2,2,2,2,2,2,2,29,1,3,2,2,1,2.0,0.527640133,,,,,2018,6,17
120,120,98122,1,3.0,5,5,5,5,5,3,3,3,3,3,2,1,1,2,1,1,1,1,1,2,2,1.0,2,2,2,3,2,3.0,2,2,1,3.0,2,4,4,4,4,4,4,4,2,2,1,2,1,1,2,2,2,1,1,1,2,2,22,1,3,3,1,2,1.0,0.970197332,,,,,2018,6,17
124,124,98052,2,,5,5,5,3,4,3,2,4,4,4,1,1,1,1,1,1,1,1,1,2,2,1.0,2,2,2,1,2,2.0,3,3,3,2.0,3,3,3,3,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,30,1,4,4,3,3,2.0,0.534397246,,,,,2018,6,17
135,135,98125,1,1.0,3,3,3,2,3,1,1,3,3,3,3,1,2,3,2,1,1,1,1,1,3,3.0,2,2,2,1,2,1.0,2,2,1,2.0,2,2,3,3,4,4,4,4,2,2,2,2,2,2,2,2,2,2,1,1,2,2,29,1,3,4,3,1,1.0,0.521126057,,,,,2018,6,17
143,143,98027,1,1.0,3,3,3,5,1,5,1,5,5,1,1,1,1,4,2,2,1,1,3,4,3,1.0,2,2,2,1,2,2.0,2,2,1,1.0,2,2,2,1,4,4,4,4,2,2,2,2,2,2,2,2,2,2,1,1,2,1,19,1,3,1,1,1,2.0,0.527867331,,,,,2018,6,17
145,145,98122,1,1.0,3,3,5,2,5,3,3,3,4,4,2,1,1,2,1,1,1,1,1,2,2,1.0,2,2,2,3,2,2.0,2,2,2,2.0,2,3,3,4,3,4,3,4,2,2,2,2,1,1,1,2,2,2,2,2,2,1,29,1,4,4,2,1,1.0,0.763773363,,,,,2018,6,17
146,146,98198,1,1.0,1,1,1,1,2,3,1,4,4,3,2,2,1,2,1,1,1,1,2,1,2,2.0,2,2,2,2,2,1.0,2,2,2,3.0,3,2,2,1,2,2,3,2,2,2,2,1,2,2,1,2,2,2,1,1,2,1,29,1,3,3,3,1,2.0,0.533364477,,,,,2018,6,17
149,149,98034,2,,1,1,2,1,3,3,2,4,4,3,1,1,1,1,1,1,1,1,1,1,2,3.0,2,2,2,3,2,2.0,2,2,2,2.0,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,30,1,3,3,1,1,2.0,0.514611982,,,,,2018,6,17
151,151,98030,1,1.0,1,5,5,5,4,4,3,4,4,4,1,1,1,1,1,1,1,1,1,1,3,1.0,2,2,3,1,2,2.0,3,3,1,2.0,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,19,1,2,1,4,1,2.0,0.742724986,,,,,2018,6,17
