,Unnamed: 0,zip,work_outside_home,Commute,beh_read,beh_type,beh_handheld,beh_handfree,beh_app,acc_handheld,acc_handfree,acc_read,acc_type,acc_app,threat_talk,threat_type,threat_aggressive,threat_spdfwy,threat_spdres,threat_lights,threat_asleep,threat_alcohol,threat_cannabis,threat_app,legal_addgps,legal_gps1819,legal_handheld,legal_handheldstop,legal_handheldspkr,legal_911,legal_camera,legal_music1819,legal_readstop,legal_typestop,legal_handfree,legal_app1819,legal_video,will30_handheld,will30_type,will30_app,willever_tixtalk,willever_tixtext,willever_crashtalk,willever_crashtext,stop_family,stop_friends,stop_pass,stop_bt,stop_tix124,stop_tix240,stop_ins,stop_work,stop_app,stop_block,stop_crash,stop_kill,stop_none,Gender,Age,agegrp1,Race,Education,Income,drive30days,Urbanicity,weight,Language,legal_gps2122,legal_music2122,legal_app2122,year,month,day
123,123,98034,1,1.0,5,5,5,3,4,2,2,3,3,2,3,2,1,2,2,1,1,1,2,3,3,1.0,2,2,2,1,3,3.0,2,2,1,3.0,2,4,4,3,4,4,4,4,2,2,1,2,2,1,1,2,2,2,1,1,2,2,53,3,3,3,2,1,2.0,0.765719225,,,,,2018,6,17
125,125,98118,1,4.0,3,5,3,5,2,2,2,3,4,3,3,1,2,2,1,1,1,1,2,2,2,1.0,2,2,2,1,3,2.0,2,2,2,3.0,2,3,4,2,3,5,3,5,2,1,1,1,1,1,1,2,1,2,1,1,2,1,55,3,3,3,3,1,1.0,0.607542766,,,,,2018,6,17
126,126,98125,1,3.0,5,5,5,5,5,3,2,3,4,4,2,1,2,3,2,2,2,2,2,2,2,1.0,2,2,2,2,2,2.0,2,2,1,2.0,2,4,4,4,4,4,4,4,1,1,1,2,1,1,1,2,1,1,1,1,2,2,44,2,3,2,3,1,1.0,0.610353954,,,,,2018,6,17
129,129,98052,1,1.0,3,5,5,5,3,4,2,4,4,4,2,1,1,1,1,1,1,1,1,1,2,1.0,2,2,2,3,2,2.0,3,3,1,2.0,2,4,4,4,4,4,3,3,2,2,1,1,2,2,2,2,2,2,2,2,2,2,52,3,3,4,1,1,2.0,0.746812577,,,,,2018,6,17
131,131,98103,1,1.0,3,5,5,4,5,3,2,3,3,3,2,1,2,2,1,2,1,2,2,2,2,3.0,2,2,3,3,3,2.0,3,2,1,2.0,2,4,4,4,4,4,4,4,1,1,1,1,2,2,1,2,2,2,1,1,2,2,40,2,3,3,1,1,1.0,0.602724529,,,,,2018,6,17
132,132,98057,2,,5,5,5,5,5,3,2,3,4,3,2,1,1,2,2,1,1,1,2,1,2,2.0,1,2,2,2,2,2.0,2,2,1,2.0,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,51,3,1,1,1,1,1.0,3.567213692,,,,,2018,6,17
133,133,98023,2,,5,5,5,4,5,4,2,4,4,3,2,1,1,1,1,1,1,1,1,1,2,1.0,2,2,2,3,2,1.0,2,2,1,2.0,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,2,1,2,2,2,42,2,3,3,1,1,2.0,0.602724529,,,,,2018,6,17
134,134,98052,2,,2,3,5,2,4,3,3,4,3,3,3,2,1,2,2,1,1,2,3,2,2,1.0,2,3,2,3,3,1.0,2,2,1,2.0,2,3,2,2,3,4,3,3,2,2,1,2,2,2,1,1,2,2,1,1,2,1,40,2,3,3,5,1,2.0,2.061785235,,,,,2018,6,17
136,136,98108,2,,5,5,5,5,5,4,4,4,4,3,2,2,2,1,1,1,1,1,1,2,2,1.0,1,1,1,3,1,2.0,2,2,1,1.0,2,3,3,3,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1,2,1,42,2,1,1,1,2,2.0,1.899323184,,,,,2018,6,17
137,137,98056,1,1.0,4,4,5,3,5,2,1,3,3,3,3,1,2,3,2,2,1,1,1,2,2,1.0,2,2,3,1,2,3.0,2,2,1,2.0,2,4,4,4,4,4,4,3,2,2,2,1,2,2,2,2,2,2,1,1,2,2,38,2,3,3,2,1,2.0,0.617983378,,,,,2018,6,17
138,138,98121,1,3.0,5,5,5,5,5,3,2,4,4,4,2,1,1,2,1,1,1,1,1,1,2,1.0,2,2,2,1,2,2.0,2,2,1,2.0,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,40,2,3,4,2,2,1.0,0.617983378,,,,,2018,6,17
140,140,98101,1,6.0,4,5,4,3,5,3,2,4,4,3,2,1,2,3,2,1,1,2,2,2,2,1.0,2,2,2,3,2,2.0,2,2,1,3.0,2,4,4,4,4,4,4,4,1,1,1,1,2,1,1,2,1,1,1,1,2,2,33,1,3,2,3,1,1.0,0.521126057,,,,,2018,6,17
